Draw,Ball_1,Ball_2,Ball_3,Ball_4,Ball_5,Ball_6,Ball_7
1747,25,28,8,2,29,7,7
1748,6,11,20,40,34,16,9
1749,25,21,40,19,23,20,6
1750,12,10,4,40,38,33,1
1751,14,16,29,28,13,1,2
1752,6,31,25,13,3,37,5
1753,38,21,39,1,14,23,5
1754,13,36,2,37,18,17,9
1755,22,29,18,34,28,14,10
1756,14,29,8,12,7,5,7
1757,31,16,23,9,25,32,7
1758,20,9,4,3,2,24,9
1759,10,36,12,37,9,18,4
1760,17,8,22,7,14,34,10
1761,27,1,6,26,33,4,9
1762,4,39,17,30,15,18,4
1763,22,2,34,19,24,27,2
1764,23,29,12,16,39,31,1
1765,21,13,38,6,30,35,2
1766,29,10,30,15,33,18,9
1767,22,23,18,20,35,15,6
1768,14,17,5,18,33,19,9
1769,33,13,5,24,39,2,6
1770,1,12,34,8,10,31,6
1771,35,19,18,10,16,28,9
1772,14,4,21,17,23,10,1
1773,5,21,31,22,34,4,8
1774,16,22,37,5,32,29,10
1775,37,14,25,18,20,17,5
1776,19,25,38,3,30,32,2
1777,35,18,12,33,4,27,8
1778,27,9,13,7,38,23,3
1779,28,2,25,5,15,10,7
1780,13,4,9,15,8,3,6
1781,12,8,21,2,7,32,7
1782,34,18,36,21,1,8,10
1783,35,4,12,30,13,33,6
1784,29,22,35,18,20,24,2
1785,1,3,8,11,19,36,7
1786,17,8,15,7,2,12,2
1787,3,13,7,11,9,5,7
1788,25,38,36,22,3,35,2
1789,32,22,36,26,40,23,1
1790,24,29,32,15,19,35,4
1791,39,1,28,16,32,40,2
1792,39,13,8,24,29,26,2
1793,13,4,37,12,9,2,9
1794,5,26,34,9,1,4,5
1795,26,17,10,5,33,21,7
1796,28,26,12,4,35,32,1
1797,24,37,33,19,9,39,8
1798,17,15,34,18,10,12,2
1799,14,11,15,10,32,16,8
1800,36,7,23,22,1,29,2
1801,15,1,22,40,39,12,10
1802,10,4,9,27,30,20,6
1803,8,6,20,31,24,27,4
1804,14,25,34,3,27,30,7
1805,8,25,7,22,40,32,5
1806,24,22,8,21,34,25,5
1807,19,30,38,20,18,31,7
1808,34,30,6,39,25,26,3
1809,23,5,18,1,24,25,9
1810,2,16,18,12,38,8,10
1811,37,3,29,20,32,30,3
1812,7,29,22,18,40,5,6
1813,23,37,2,30,14,22,2
1814,25,15,10,31,28,27,3
1815,40,29,24,3,32,30,1
1816,33,15,11,2,35,10,8
1817,22,31,15,39,11,35,3
1818,4,23,34,24,2,20,2
1819,4,40,11,23,6,12,6
1820,24,18,4,40,19,6,6
1821,3,8,35,30,21,22,1
1822,24,33,1,17,32,12,5
1823,11,40,10,3,31,13,7
1824,35,19,31,27,37,13,6
1825,40,25,2,38,17,22,9
1826,29,33,17,9,19,20,2
1827,6,15,14,26,8,31,10
1828,4,25,26,1,37,24,7
1829,2,31,26,27,5,6,2
1830,36,1,35,2,40,27,4
1831,7,28,23,22,20,1,4
1832,31,13,33,36,40,38,9
1833,31,36,1,32,9,38,1
1834,9,12,19,14,8,15,1
1835,21,7,16,32,4,36,4
1836,32,28,20,34,7,25,8
1837,8,23,39,14,31,7,6
1838,21,11,3,37,32,18,5
1839,33,10,23,30,21,12,7
1840,24,27,10,21,36,23,3
1841,10,7,5,13,17,37,5
1842,2,21,18,13,9,3,1
1843,30,7,35,12,38,10,6
1844,10,11,22,28,14,40,8
1845,40,32,33,22,31,17,5
1846,18,26,28,10,1,8,2
1847,34,35,9,21,27,18,10
1848,32,1,39,10,21,37,2
1849,35,19,20,38,16,31,1
1850,8,24,4,37,22,29,2
1851,38,32,7,17,37,16,2
1852,37,4,29,27,36,34,8
1853,7,19,11,8,9,28,3
1854,3,39,20,16,2,19,3
1855,14,13,5,21,37,27,6
1856,25,9,24,20,10,12,1
1857,16,3,12,28,14,2,7
1858,30,10,23,37,2,35,4
1859,30,10,20,40,8,26,2
1860,19,1,22,33,30,37,6
1861,27,28,17,39,26,5,1
1862,10,36,6,27,22,25,10
1863,7,39,2,8,6,23,2
1864,35,27,6,28,25,15,5
1865,4,30,19,11,33,31,5
1866,37,26,14,10,7,12,8
1867,32,29,39,38,15,30,2
1868,37,20,18,10,19,7,7
1869,31,38,39,1,15,22,4
1870,31,33,5,37,17,2,5
1871,28,33,35,5,12,38,7
1872,36,7,16,10,28,33,4
1873,16,10,1,18,26,27,8
1874,5,13,22,24,4,28,6
1875,6,27,25,32,23,22,6
1876,1,4,19,17,6,21,5
1877,25,40,4,16,10,22,2
1878,7,30,34,31,39,17,9
1879,24,40,25,3,7,11,6
1880,23,8,34,31,12,17,8
1881,15,40,23,31,35,19,2
1882,1,32,12,29,10,6,2
1883,8,15,23,21,17,6,2
1884,35,17,2,4,6,22,8
1885,25,15,24,4,23,19,3
1886,30,5,2,24,37,4,9
1887,22,30,39,4,6,20,3
1888,20,1,38,29,31,7,2
1889,32,8,38,13,7,24,9
1890,34,13,26,15,6,22,4
1891,21,26,11,36,19,7,10
1892,14,23,32,19,7,34,3
1893,21,31,15,22,5,3,3
1894,37,15,39,5,13,36,2
1895,6,22,4,32,3,25,1
1896,16,33,20,8,36,9,5
1897,29,15,5,27,38,22,3
1898,30,23,40,25,27,19,1
1899,22,29,14,7,17,5,2
1900,35,38,6,12,21,28,6
1901,26,39,20,2,3,24,7
1902,12,24,16,8,19,20,10
1903,10,39,5,11,36,7,4
1904,27,23,16,35,21,13,10
1905,9,10,19,1,7,15,2
1906,7,6,37,11,23,29,6
1907,22,17,2,9,10,31,6
1908,39,32,19,33,18,13,6
1909,2,11,1,17,35,30,10
1910,16,17,20,22,29,28,5
1911,28,1,9,26,4,22,7
1912,12,26,39,33,18,35,5
1913,1,16,30,15,22,8,8
1914,6,26,27,25,23,9,8
1915,7,11,16,39,2,28,7
1916,23,19,21,34,39,35,5
1917,32,6,24,19,34,21,2
1918,9,14,34,7,20,18,5
1919,35,16,13,15,6,38,3
1920,10,28,24,16,6,34,2
1921,23,38,33,14,40,34,8
1922,12,6,17,24,7,33,2
1923,23,2,25,4,6,24,6
1924,9,16,40,33,13,26,3
1925,35,4,6,29,21,32,7
1926,1,20,24,34,5,37,2
1927,29,35,14,1,36,39,5
1928,34,10,11,24,28,19,9
1929,26,10,28,27,31,21,6
1930,30,20,22,24,32,16,7
1931,31,15,3,40,6,2,1
1932,24,14,13,15,12,38,10
1933,2,11,25,21,32,20,3
1934,31,10,4,17,29,2,1
1935,25,35,12,31,24,16,9
1936,22,8,36,39,15,40,10
1937,30,8,2,33,21,3,6
1938,4,18,27,25,32,28,3
1939,30,39,36,5,14,40,10
1940,26,39,20,7,14,23,2
1941,22,29,21,13,40,8,1
1942,36,25,9,23,13,22,2
1943,36,12,18,2,28,20,10
1944,9,18,16,20,28,19,5
1945,17,8,27,7,10,21,7
1946,3,2,39,19,35,37,10
1947,35,28,21,25,8,32,3
1948,20,10,6,11,13,30,2
1949,25,5,20,11,26,40,2
1950,28,8,25,23,27,17,3
1951,22,26,29,3,15,17,5
1952,4,19,11,1,6,8,1
1953,8,16,33,5,31,7,8
1954,12,22,5,38,19,25,8
1955,16,24,11,33,23,29,3
1956,38,6,7,9,24,22,4
1957,9,12,36,23,1,39,6
1958,38,29,22,27,15,7,10
1959,20,5,6,18,29,33,9
1960,20,31,15,10,26,34,1
1961,36,32,8,39,19,38,2
1962,28,32,12,14,35,10,8
1963,9,34,31,1,20,29,1
1964,12,2,4,28,15,13,10
1965,29,40,35,2,30,33,5
1966,25,10,12,39,11,6,6
1967,17,15,22,11,6,12,8
1968,18,8,17,2,29,27,3
1969,35,2,24,38,32,36,6
1970,2,11,10,29,35,3,8
1971,35,39,29,40,4,34,5
1972,31,29,4,35,8,20,4
1973,1,35,25,22,15,39,4
1974,7,2,30,6,25,23,5
1975,14,31,32,37,24,15,5
1976,40,18,8,29,16,21,8
1977,16,10,11,29,19,34,4
1978,9,1,23,10,22,16,10
1979,30,40,20,18,4,10,7
1980,11,38,40,28,10,12,3
1981,40,36,28,37,6,21,8
1982,22,24,34,16,31,7,2
1983,22,20,5,9,19,24,4
1984,11,23,28,4,16,7,5
1985,16,10,25,32,29,34,4
1986,8,23,27,21,12,22,1
1987,30,13,26,37,31,25,9
1988,36,39,24,20,37,26,4
1989,13,15,7,32,40,18,8
1990,37,8,19,23,14,20,6
1991,19,8,17,20,27,15,9
1992,30,24,14,18,5,10,5
1993,36,1,21,15,24,5,5
1994,17,35,1,32,3,23,1
1995,37,11,17,29,18,25,8
1996,26,6,34,40,17,7,4
1997,1,24,18,4,11,17,2
1998,1,11,37,9,3,23,3
1999,12,39,16,25,35,29,1
2000,30,39,2,32,9,23,7
2001,40,23,39,29,19,6,8
2002,33,32,20,5,1,31,7
2003,34,5,1,31,21,16,4
2004,23,40,19,20,14,22,7
2005,26,6,1,38,18,40,9
2006,13,19,12,36,22,11,6
2007,12,35,28,37,17,40,1
2008,26,22,3,39,28,19,4
2009,21,12,5,22,39,25,5
2010,16,20,24,31,14,1,4
2011,17,4,35,3,13,26,4
2012,26,23,39,10,40,29,6
2013,21,23,30,27,38,24,8
2014,36,19,7,5,15,6,8
2015,35,3,29,14,2,30,9
2016,22,3,13,27,10,37,1
2017,4,30,40,2,6,25,8
2018,10,1,15,4,14,20,7
2019,17,29,34,22,20,27,9
2020,18,9,5,35,1,21,3
2021,26,10,17,2,19,12,3
2022,40,5,37,31,16,39,8
2023,38,27,26,34,25,19,8
2024,38,7,21,1,11,16,5
2025,26,5,2,9,28,24,10
2026,29,20,4,15,36,39,8
2027,18,16,32,1,6,23,5
2028,30,17,14,11,28,34,9
2029,37,25,17,35,38,26,4
2030,2,18,19,17,30,13,3
2031,38,6,9,11,5,17,7
2032,6,40,30,20,4,16,8
2033,15,29,10,23,17,28,9
2034,1,29,18,11,34,20,4
2035,32,24,1,26,19,37,7
2036,3,10,11,2,38,8,5
2037,20,8,19,40,26,24,4
2038,1,18,20,16,8,27,9
2039,16,26,15,31,33,25,1
2040,19,30,10,16,29,7,8
2041,31,26,36,24,38,7,5
2042,38,23,40,32,26,15,3
2043,22,9,39,3,20,26,9
2044,18,11,35,17,1,6,9
2045,17,22,6,3,11,15,10
2046,1,26,19,22,11,7,2
2047,4,3,20,33,10,15,4
2048,23,11,40,17,31,1,5
2049,27,17,13,20,2,33,8
2050,25,6,32,33,31,34,6
2051,33,35,34,9,10,11,10
2052,21,8,16,34,15,25,8
2053,15,29,22,10,31,6,2
2054,24,28,35,23,30,6,10
2055,21,1,9,16,23,12,5
2056,24,1,35,22,8,40,5
2057,1,23,38,37,18,33,7
2058,4,26,21,36,31,5,2
2059,35,18,40,6,7,23,10
2060,7,33,25,30,20,31,6
2061,26,9,2,21,25,38,4
2062,26,6,35,29,34,17,10
2063,35,2,29,32,3,26,3
2064,31,17,6,8,25,26,7
2065,22,11,16,34,30,1,9
2066,39,21,36,19,23,38,9
2067,31,7,39,13,16,30,9
2068,2,35,38,10,16,31,5
2069,14,10,37,4,3,38,5
2070,29,19,17,26,32,39,2
2071,35,3,21,29,6,18,1
2072,12,18,4,15,36,24,9
2073,22,35,17,39,26,25,6
2074,31,12,23,30,13,27,7
2075,18,8,38,27,26,17,1
2076,26,1,11,32,2,6,3
2077,9,22,13,1,35,8,6
2078,12,40,4,21,5,22,2
2079,30,8,3,14,15,31,3
2080,25,26,14,22,19,7,9
2081,13,19,21,6,38,12,8
2082,36,32,3,11,8,5,3
2083,29,28,5,38,7,33,3
2084,7,9,24,35,14,10,8
2085,8,9,30,10,20,6,9
2086,34,8,40,29,6,23,3
2087,30,13,28,34,39,26,3
2088,13,27,14,9,17,11,5
2089,10,7,18,25,29,3,1
2090,29,23,38,35,10,24,1
2091,40,18,32,1,5,23,6
2092,24,23,4,18,14,12,7
2093,29,11,38,34,33,12,3
2094,22,6,26,29,28,39,4
2095,18,30,27,10,25,2,1
2096,12,33,26,35,10,8,7
2097,35,33,27,37,3,36,3
2098,14,17,35,23,4,21,7
2099,24,22,14,19,28,37,9
2100,32,15,6,18,21,19,1
2101,28,23,8,21,11,34,3
2102,23,40,16,5,33,19,1
2103,40,38,12,33,23,25,9
2104,10,14,8,9,23,38,2
2105,22,35,37,32,21,9,5
2106,28,5,1,33,13,37,10
2107,30,39,21,5,19,28,10
2108,28,7,40,32,2,19,1
2109,4,19,3,31,2,7,9
2110,32,13,21,26,18,12,10
2111,28,36,27,31,32,38,9
2112,5,8,7,17,40,21,8
2113,17,10,35,25,33,15,5
2114,26,18,37,5,20,31,4
2115,21,9,18,12,40,37,7
2116,30,6,18,25,16,39,5
2117,34,30,6,39,10,7,9
2118,24,2,3,17,28,4,3
2119,20,4,2,13,6,36,5
2120,31,20,8,26,37,17,4
2121,11,10,31,15,6,28,5
2122,2,29,21,39,24,9,7
2123,32,12,28,10,36,5,4
2124,34,15,20,36,24,31,1
2125,27,29,19,4,23,9,5
2126,6,13,3,14,4,17,7
2127,29,35,18,12,17,36,1
2128,5,1,3,38,11,12,8
2129,39,5,7,13,12,40,1
2130,23,3,20,19,6,29,9
2131,17,32,38,9,15,37,5
2132,24,38,23,16,15,14,8
2133,8,24,20,25,32,13,4
2134,17,30,21,13,20,34,5
2135,11,23,13,2,32,4,7
2136,11,25,2,13,27,4,5
2137,38,25,6,34,15,36,8
2138,25,19,36,12,29,16,3
2139,9,29,25,39,16,32,7
2140,33,5,11,12,39,22,9
2141,34,22,3,35,12,31,2
2142,15,33,11,8,27,32,2
2143,5,40,38,7,34,33,8
2144,29,24,6,17,32,14,5
2145,10,27,30,17,12,29,1
2146,1,21,20,27,36,26,7
2147,3,32,38,16,6,23,8
2148,25,27,12,18,6,5,3
2149,5,39,15,16,28,13,3
2150,5,28,26,22,23,34,5
2151,15,14,4,35,11,24,6
2152,30,17,40,23,31,20,9
2153,23,16,24,1,5,39,10
2154,25,23,5,11,20,2,4
2155,15,5,22,4,40,6,1
2156,30,17,9,2,38,18,8
2157,27,10,37,7,38,31,6
2158,36,35,28,13,4,27,7
2159,4,39,32,40,5,31,10
2160,23,22,4,30,21,37,10
2161,19,34,3,17,4,15,5
2162,3,32,23,19,13,30,5
2163,12,19,16,37,24,25,5
2164,38,15,29,22,2,6,8
2165,19,21,28,5,26,31,5
2166,14,31,39,16,24,5,8
2167,28,22,25,37,33,21,1
2168,35,3,18,7,5,31,6
2169,1,37,29,23,31,7,4
2170,12,19,39,28,15,40,4
2171,1,20,14,33,29,3,7
2172,13,26,30,31,10,17,7
2173,2,35,5,9,25,6,2
2174,10,30,31,5,36,19,7
2175,32,11,10,19,17,36,9
2176,3,4,24,5,40,21,6
2177,21,25,9,12,22,35,2
2178,13,6,33,38,17,15,4
2179,5,2,29,9,22,34,7
2180,33,39,4,37,20,40,2
2181,25,27,28,29,10,7,3
2182,7,23,26,4,33,27,1
